subject,condition,reaction_time,first_fixation,choice,mean_choice_by_condition
23,ten-four,0.6797500000000127,ten,0,0.25
23,eight-two,1.2778299999999945,eight,0,0.375
23,twelve-six,1.2294299999999794,twelve,0,0.5714285714285714
23,twelve-six,0.6149000000000342,six,1,0.5714285714285714
23,eight-two,0.8088999999999942,eight,0,0.375
23,ten-four,1.2290899999999851,ten,0,0.25
23,eight-two,2.8470800000000054,two,1,0.375
23,eleven-five,0.8245000000000005,five,1,0.625
23,seven-one,31.02330999999998,seven,0,0.5
23,eleven-five,0.8086599999999748,five,1,0.625
23,twelve-six,0.7926000000000499,six,1,0.5714285714285714
23,ten-four,0.5824300000000449,ten,0,0.25
23,seven-one,0.48534999999998263,seven,0,0.5
23,nine-three,1.3423400000000356,three,1,0.875
23,nine-three,1.439519999999959,three,1,0.875
23,nine-three,0.9222100000000069,three,1,0.875
23,nine-three,0.8088999999999942,three,1,0.875
23,seven-one,1.1474000000000046,seven,0,0.5
23,ten-four,2.1189299999999776,four,1,0.25
23,twelve-six,1.051240000000007,twelve,0,0.5714285714285714
23,eleven-five,1.5523999999999774,eleven,0,0.625
23,seven-one,1.0348200000000247,one,1,0.5
23,eleven-five,1.3259899999999334,eleven,0,0.625
23,eight-two,1.1646100000000388,two,1,0.375
23,ten-four,0.6306700000000092,ten,0,0.25
23,eight-two,0.9384800000000268,eight,0,0.375
23,twelve-six,1.1481999999999744,twelve,0,0.5714285714285714
23,twelve-six,0.7119799999999259,six,1,0.5714285714285714
23,eight-two,0.824760000000083,eight,0,0.375
23,ten-four,1.001950000000079,four,1,0.25
23,eight-two,1.6494800000000396,two,1,0.375
23,eleven-five,1.2454199999999673,eleven,0,0.625
23,seven-one,30.812799999999925,one,1,0.5
23,eleven-five,0.7595300000000407,five,1,0.625
23,ten-four,1.2612900000000309,ten,0,0.25
23,seven-one,1.3099300000000085,one,1,0.5
23,nine-three,0.5982099999999946,three,1,0.875
23,nine-three,0.6308599999999842,three,1,0.875
11,nine-three,1.4937299999999993,nine,0,0.25
11,eleven-five,0.7904100000000085,eleven,0,0.375
11,twelve-six,0.5691099999999949,six,1,1.0
11,eight-two,0.5758299999999963,two,1,0.125
11,seven-one,0.47667999999998756,seven,0,0.0
11,twelve-six,0.5221900000000232,six,1,1.0
11,ten-four,0.5341300000000047,four,1,0.875
11,seven-one,0.5088500000000238,seven,0,0.0
11,eleven-five,0.4551999999999907,five,1,0.375
11,eight-two,0.6436099999999954,eight,0,0.125
11,ten-four,0.6237299999999948,four,1,0.875
11,nine-three,0.5157299999999907,nine,0,0.25
11,nine-three,0.5688499999999976,three,1,0.25
11,ten-four,2.639530000000036,four,1,0.875
11,eight-two,0.5752600000000143,eight,0,0.125
11,eleven-five,0.5633799999999951,eleven,0,0.375
